;mun;year;exp_value;imp_value;exp_share;homicid;latroc;estupro;idh;idh_rank;educ_pgraduate;life_exp;furtos;gdp;gdp_per;area;roubos;dem_dens;value_add;ind_value_ad;eletric;mun_revenue;iptu;iss;icms;ipva;icms.1;veic;veic_per;jobs;jobs_mrev;pop;pop_cresc;pop_urb;pop_rur;olding;urbing;migration;pri_year;pri_mun;pri_reais;pri_dolar;mun2;pub_year;pub_mun;pub_value;checkpub;checkpri
0;Adamantina;2000;;;;;;;0,721;32;10,83;,,,;;;;411,78;;81,32;;;;51901866;3745438;374408;0,04969091;6575567;8908657;;;5338;547,8;33484;;30356;3128;60,91;90,66;115;;;;;ADAMANTINA;;;;1;0
1;Adamantina;2001;;;;4;;2;;;;,,,;269;;;411,78;18;81,54;;;42665;55946273;3596521;471032;0,04859296;7092292;11866905;;;5418;602,97;33577;;30475;3102;64,06;90,76;,,,;;;;;ADAMANTINA;;;;1;0
2;Adamantina;2002;;;;1;1;;;;;,,,;319;281045,53;8355,5;411,78;5;81,68;256900,96;46484,02;44590;92813462;3045709;1995049;0,045386;7906851;12037561;12206;2,76;6006;654,7;33636;;30635;3001;67,36;91,08;,,,;;;;;ADAMANTINA;;;;1;0
3;Adamantina;2003;7509556;;0,027878;1;;;;;;,,,;280;334646,05;9936,93;411,78;8;81,78;305016,63;55096,86;47876;88043616;3016482;1808059;0,04876025;7152538;9427307;12595;2,67;6223;709,64;33677;;30796;2881;70,87;91,45;,,,;;;;;ADAMANTINA;;;;1;0
4;Adamantina;2004;6864268;;0,019939;4;;1;;;;,,,;422;336598,55;9983,64;411,78;6;81,88;308021,43;66538,76;49496;;;;0,05260132;7386335;7593161;13156;2,56;6751;762,66;33715;;30958;2757;74,62;91,82;,,,;;;;;ADAMANTINA;;;;1;0
5;Adamantina;2005;42493060;1218682;0,102645;;;;;;;,,,;382;380332,12;11264,43;411,78;13;82;350151,75;76271,38;52261;93179436;2983673;1977222;0,05291053;7457835;8119524;13821;2,44;6806;769,85;33764;;31120;2644;78,58;92,17;,,,;;;;;ADAMANTINA;;;;1;0
6;Adamantina;2006;81851232;3702790;0,162634;1;1;;;;;,,,;308;447548,62;13247,35;411,78;8;82,04;410262,9;98155,69;54593;103499043;2994875;2389729;0,05346078;8215833;10014724;14635;2,31;7323;893,81;33784;;31283;2501;82,71;92,6;,,,;;;;;ADAMANTINA;;;;1;0
7;Adamantina;2007;77217655;3458584;0,13737;;;;;;;,,,;334;511690,94;15142,82;411,78;12;82,06;471744,6;106312,8;58208;114133521;3014599;2659032;0,05169529;9315925;11990462;15604;2,17;7577;982,65;33791;;31447;2344;87,15;93,06;,,,;;;;;ADAMANTINA;;;;1;0
8;Adamantina;2008;48685783;3622520;0,074821;1;;;;;;,,,;402;521110,11;15426,13;411,78;5;82,04;475490,81;97580,57;59712;;;;0,05537704;9327095;9482059;16855;2;8959;1081,41;33781;;31612;2169;91,87;93,58;,,,;;;;;ADAMANTINA;;;;1;0
9;Adamantina;2009;63343890;1331161;0,136029;1;;1;;;;,,,;288;580602,67;17195,4;411,78;19;82;533033,77;93946,66;62581;77463032;3509051;3485586;0,05512665;10942472;10028912;18058;1,87;8928;1113,15;33765;;31778;1987;96,83;94,12;,,,;;;;;ADAMANTINA;;;;1;0
10;Adamantina;2010;58553226;87244;0,10305;1;;6;0,79;35;16,49;,,,;231;639090,51;18911,36;411,39;12;82,15;585814,65;113294,52;63642;108845218;3893749;4274135;0,05124828;;;19331;1,75;8779;1205,73;33794;;31945;1849;101,94;94,53;84;;;;;ADAMANTINA;;;;1;0
11;Adamantina;2011;47534935;106552;0,072919;;;5;;;;,,,;255;683689,22;20220,91;411,39;11;82,19;626642,63;124683,96;65077;114846746;4076447;4710966;0,05478877;;;20613;1,64;8925;1292,96;33811;;32047;1764;105,72;94,78;;;;;;ADAMANTINA;;;;1;0
12;Adamantina;2012;33146570;12467;0,050847;;;7;;;;,,,;256;743683,94;21984,27;411,39;7;82,23;680841,59;114027,86;69445;;;;0,05412772;;;21879;1,55;9045;1413,58;33828;;32143;1685;109,54;95,02;;;;;;ADAMANTINA;2012;ADAMANTINA;315225;1;0
13;Adamantina;2013;29152328;239286;0,046308;;;9;;;;,,,;279;815579,34;24097,48;411,39;13;82,27;750130,73;109703,21;68771;;;;0,05081229;;;22969;1,47;8936;1600,4;33845;;32233;1612;113,53;95,24;;;;;;ADAMANTINA;2013;ADAMANTINA;696535,15;1;0
14;Adamantina;2014;25100047;474189;0,043422;1;;6;;;;,,,;266;883055,34;26078,06;411,39;6;82,31;814490,45;110920,78;70545;;;;0,05000143;;;23966;1,41;9312;1717,02;33862;;32318;1544;117,55;95,44;;;;;;ADAMANTINA;;;;1;0
15;Adamantina;2015;22129459;182411;0,042804;;;3;;;;,,,;263;;;411,99;4;82,23;;;;;;;0,04810147;;;24839;1,36;9477;1828,78;33879;;32398;1481;121,71;95,63;;;;;;ADAMANTINA;;;;1;0
16;Adamantina;2016;;;;;;;;;;,,,;;;;411,99;;82,24;;;;;;;;;;25516;1,33;;;33882;;32460;1422;125,52;95,8;;;;;;ADAMANTINA;;;;1;0
17;Adamantina;2017;;;;;;;;;;,,,;;;;411,99;;82,25;;;;;;;;;;;;;;33885;0,04;32518;1367;129,45;95,97;;;;;;ADAMANTINA;;;;1;0
18;Adamantina;2018;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADAMANTINA;;;;1;0
19;Adamantina;2019;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADAMANTINA;;;;1;0
20;Adamantina;2020;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADAMANTINA;;;;1;0
21;Adamantina;2021;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADAMANTINA;;;;1;0
22;Adolfo;2000;;;;;;;0,667;196;3,26;,,,;;;;210,84;;17,45;;;;14573297;133501;22527;0,01710455;246714;122066;;;387;524,58;3680;;3068;612;46,73;83,37;12;;;;;ADOLFO;;;;1;1
23;Adolfo;2001;;;;;;1;;;;,,,;20;;;210,84;;17,48;;;7129;14625461;131216;14858;0,0174576;256425;137165;;;398;521,61;3685;;3071;614;49,17;83,34;,,,;;;;;ADOLFO;;;;1;1
24;Adolfo;2002;;;;;;;;;;,,,;30;27257,72;7419,09;210,84;1;17,43;26302,67;2523,11;9279;14207455;303675;7050;0,01647715;297135;316717;740;4,96;682;687,84;3674;;3085;589;52,46;83,97;,,,;;;;;ADOLFO;;;;1;1
25;Adolfo;2003;;;;;;;;;;,,,;29;29370,46;8011,58;210,84;1;17,39;28386,17;2469,83;8468;11188395;281153;10787;0,01598362;231306;80816;768;4,77;690;564,22;3666;;3099;567;55,48;84,53;,,,;;;;;ADOLFO;;;;1;1
26;Adolfo;2004;;;;;;;;;;,,,;14;35441,26;9696,65;210,84;;17,34;34435,09;3887,16;9690;11755122;157004;26975;0,01648298;259818;80703;810;4,51;723;634,2;3655;;3113;542;58,4;85,17;,,,;;;;;ADOLFO;;;;1;1
27;Adolfo;2005;;;;;;;;;;,,,;46;34776,76;9543,57;210,84;;17,28;33869,66;4333,61;10563;12672941;141557;78621;0,01776221;286254;106120;863;4,22;708;706,27;3644;;3127;517;61,61;85,81;,,,;;;;;ADOLFO;;;;1;1
28;Adolfo;2006;;;;;;;;;;,,,;53;45580,16;12515,14;210,84;;17,27;44269,23;5462,29;10938;14159916;181793;44855;0,01837348;328361;137107;939;3,88;796;765,76;3642;;3141;501;65,51;86,24;,,,;;;;;ADOLFO;;;;1;1
29;Adolfo;2007;;;;1;;;;;;,,,;38;55447,81;15279,09;210,84;3;17,21;53022,96;8199,24;11077;18296283;203662;9322;0,0175662;390829;206665;1029;3,53;815;824,98;3629;;3155;474;69,04;86,94;,,,;;;;;ADOLFO;;;;1;1
30;Adolfo;2008;;;;;;1;;;;,,,;55;58814,14;16319,13;210,84;1;17,09;56478,13;7985,73;11273;20183350;379370;125309;0,01758288;425623;103650;1172;3,08;833;895,99;3604;;3170;434;73,73;87,96;,,,;;;;;ADOLFO;;;;1;1
31;Adolfo;2009;;;;;;;;;;,,,;65;65982,04;18425,59;210,84;;16,98;64170,5;10433,17;6933;17746097;419881;91397;0,01912518;548740;112492;1265;2,83;794;1019,71;3581;;3185;396;77,2;88,94;,,,;;;;;ADOLFO;;;;1;1
32;Adolfo;2010;;;;1;;1;0,73;388;6,82;,,,;44;61059,15;17161,09;211,08;1;16,86;59836,16;4663,7;12381;20076359;488739;105824;0,01947341;;;1390;2,56;761;1215,67;3558;;3201;357;82,97;89,97;24;;;;;ADOLFO;;;;1;1
33;Adolfo;2011;;3500;;;;3;;;;,,,;29;68413,95;19287,84;211,08;2;16,8;66731,05;5499,58;9966;18448898;278212;117774;0,01849727;;;1498;2,37;766;1361,65;3547;;3205;342;87,59;90,36;;;;;;ADOLFO;;;;1;1
34;Adolfo;2012;;;;;;2;;;;,,,;39;53200,27;15049,58;211,08;1;16,75;51574,94;4353,18;10605;;;;0,01877149;;;1672;2,11;777;1368,77;3535;;3206;329;92,52;90,69;;;;;;ADOLFO;;;;1;1
35;Adolfo;2013;;3500;;;;1;;;;,,,;47;73529,29;20871,22;211,08;;16,69;71968,31;5430,26;10215;;;;0,02023216;;;1826;1,93;816;1625,53;3523;;3206;317;97,44;91;;2013;Adolfo;2,4;0,61;ADOLFO;2013;ADOLFO;408000;1;1
36;Adolfo;2014;;;;;;2;;;;,,,;38;79414,14;22612,23;211,08;2;16,64;77638,15;5962,2;12805;;;;0,02148379;;;1961;1,79;870;1679,83;3512;;3206;306;103,29;91,29;;;;;;ADOLFO;;;;1;1
37;Adolfo;2015;;;;;;;;;;,,,;43;;;211,06;5;16,59;;;;;;;0,02235437;;;2074;1,69;815;1845,95;3501;;3205;296;109,31;91,55;;;;;;ADOLFO;;;;1;1
38;Adolfo;2016;;;;;;;;;;,,,;;;;211,06;;16,54;;;;;;;;;;2196;1,59;;;3490;;3203;287;115,42;91,78;;;;;;ADOLFO;;;;1;1
39;Adolfo;2017;;;;;;;;;;,,,;;;;211,06;;16,48;;;;;;;;;;;;;;3479;0,32;3200;279;122,24;91,98;;;;;;ADOLFO;;;;1;1
40;Adolfo;2018;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADOLFO;;;;1;1
41;Adolfo;2019;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADOLFO;;;;1;1
42;Adolfo;2020;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADOLFO;;;;1;1
43;Adolfo;2021;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ADOLFO;;;;1;1
44;Aguaí;2000;;;;;;;0,642;336;5,57;,,,;;;;473,37;;59,46;;;;45798292;2480357;1031145;0,05234489;3193223;37646905;;;4178;502,88;28145;;24664;3481;37,09;87,63;223;;;;;AGUAÍ;;;;1;0
45;Aguaí;2001;;;;4;;2;;;;,,,;602;;;473,37;144;60,39;;;54318;43074308;2428236;1158480;0,05409714;3429014;35697789;;;4238;525,12;28586;;25020;3566;38,34;87,53;,,,;;;;;AGUAÍ;;;;1;0
46;Aguaí;2002;;;;1;;;;;;,,,;528;241803,48;8339,49;473,37;87;61,25;226548,59;67511,44;54793;45515457;2376832;1079469;0,05431364;3386751;13381627;7716;3,76;4164;551,67;28995;;25431;3564;39,62;87,71;,,,;;;;;AGUAÍ;;;;1;0
47;Aguaí;2003;;;;3;;3;;;;,,,;377;278779,72;9480,05;473,37;60;62,12;259878,08;86126,23;57283;40382562;2146469;1100004;0,05450016;2960079;15588002;8200;3,59;4044;620,59;29407;;25848;3559;40,95;87,9;,,,;;;;;AGUAÍ;;;;1;0
48;Aguaí;2004;;65906;;3;;2;;;;,,,;151;383642,43;12874,77;473,37;40;62,95;362399,94;100986,54;56886;;;;0,05561488;3063899;16083706;8670;3,44;4530;686,89;29798;;26272;3526;42,4;88,17;,,,;;;;;AGUAÍ;;;;1;0
49;Aguaí;2005;68820;74168;0,000166;3;1;1;;;;,,,;338;373472,66;12373,2;473,37;51;63,76;350968,73;120423,96;62507;48641493;2228217;2722845;0,05826711;3498384;21492841;9038;3,34;4801;728,23;30184;;26703;3481;43,84;88,47;,,,;;;;;AGUAÍ;;;;1;0
50;Aguaí;2006;;212934;;3;1;1;;;;,,,;693;461978,91;15098,34;473,37;81;64,64;437159,48;128583,2;66542;54846456;2293509;3052666;0,05993949;3955258;21788368;9483;3,23;5200;840,42;30598;;27141;3457;45,34;88,7;,,,;;;;;AGUAÍ;;;;1;0
51;Aguaí;2007;;167476;;5;1;;;;;,,,;679;600464,62;19373,58;473,37;48;65,48;571203,14;159252,39;73498;58869974;2349885;3338942;0,06020598;4357689;25709704;10361;2,99;5577;894,27;30994;;27587;3407;46,93;89,01;,,,;;;;;AGUAÍ;;;;1;0
52;Aguaí;2008;3677;423570;0,000006;2;1;;;;;,,,;544;526016,84;16769,75;473,37;55;66,26;490564,62;165819,14;78605;62033996;2167786;3458224;0,05970383;4643861;27483178;11380;2,76;5716;987,71;31367;;28040;3327;48,57;89,39;,,,;;;;;AGUAÍ;;;;1;0
53;Aguaí;2009;;82405;;3;;1;;;;,,,;566;476190,64;15007,58;473,37;59;67,03;443994,28;143115,75;76519;64866404;2265496;3564336;0,05910597;5380744;7537173;12358;2,57;6002;1079,2;31730;;28500;3230;50,34;89,82;,,,;;;;;AGUAÍ;;;;1;0
54;Aguaí;2010;3506065;197699;0,00617;1;;6;0,715;502;7,65;,,,;570;549174,96;17101,33;474,74;58;67,64;511074,09;169115,23;84340;71498830;2267295;3687683;0,05868043;;;13527;2,37;6126;1167,63;32113;;28969;3144;52,07;90,21;128;;;;;AGUAÍ;;;;1;0
55;Aguaí;2011;16325695;435956;0,025044;4;2;3;;;;,,,;478;573701,85;17671,94;474,74;81;68,38;531873,01;178921,67;82709;76340844;2162580;3926094;0,05524613;;;14581;2,23;6156;1236,25;32464;;29359;3105;53,99;90,44;;;;;;AGUAÍ;;;;1;0
56;Aguaí;2012;764;1336268;0,000001;6;;4;;;;,,,;471;568189,97;17312,31;474,74;61;69,13;524488,46;173550,76;81793;;;;0,05410219;;;15706;2,09;6107;1383,24;32820;;29752;3068;56,08;90,65;;;;;;AGUAÍ;;;;1;0
57;Aguaí;2013;;311038;;2;;2;;;;,,,;428;660869,78;19918,32;474,74;63;69,89;611163,92;198976,81;83845;;;;0,0563753;;;16944;1,96;6289;1634,36;33179;;30148;3031;58,22;90,86;;;;;;AGUAÍ;2013;AGUAÍ;140850;1;0
58;Aguaí;2014;;13676865;;2;1;5;;;;,,,;472;747278,2;22278,88;474,74;88;70,65;682504,59;223897,96;85848;;;;0,05429111;;;17911;1,87;6612;1775,76;33542;;30548;2994;60,46;91,07;;;;;;AGUAÍ;;;;1;0
59;Aguaí;2015;;22979761;;5;;5;;;;,,,;406;;;474,55;76;71,46;;;;;;;0,05292185;;;18703;1,81;7726;1824,37;33909;;30950;2959;62,86;91,27;;;;;;AGUAÍ;;;;1;0
60;Aguaí;2016;;;;;;;;;;,,,;;;;474,55;;72,16;;;;;;;;;;19453;1,76;;;34242;;31322;2920;64,92;91,47;;;;;;AGUAÍ;;;;1;0
61;Aguaí;2017;;;;;;;;;;,,,;;;;474,55;;72,86;;;;;;;;;;;;;;34578;1,06;31695;2883;67,05;91,66;;;;;;AGUAÍ;;;;1;0
62;Aguaí;2018;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGUAÍ;;;;1;0
63;Aguaí;2019;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGUAÍ;;;;1;0
64;Aguaí;2020;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGUAÍ;;;;1;0
65;Aguaí;2021;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AGUAÍ;;;;1;0
66;Águas da Prata;2000;;;;;;;0,692;102;10,34;,,,;;;;142,59;;49,98;;;;20077670;1646414;660574;0,01691913;925769;7608035;;;740;529,8;7127;;6072;1055;65,57;85,2;17;;;;;ÁGUAS DA PRATA;;;;1;0
67;Águas da Prata;2001;;;;;;;;;;,,,;49;;;142,59;3;50,34;;;10525;19345563;1455044;929466;0,01847591;997063;6489223;;;747;597,82;7178;;6099;1079;68,29;84,97;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
68;Águas da Prata;2002;;;;;;;;;;,,,;37;35001,03;4841,75;142,59;2;50,7;32566,21;3621,09;10170;20733471;1526880;784928;0,01709731;1025056;5004963;2178;3,32;708;610,91;7229;;6170;1059;71,7;85,35;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
69;Águas da Prata;2003;;;;1;;;;;;,,,;51;36772,88;5058,86;142,59;6;50,98;34375,15;3966,31;10317;;;;0,01417037;975743;6811872;2279;3,19;697;743,34;7269;;6242;1027;74,64;85,87;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
70;Águas da Prata;2004;;;;;;;;;;,,,;43;41023,7;5621,99;142,59;2;51,17;38614,41;4680,15;10401;15166057;1431111;506914;0,01345746;962241;6726306;2380;3,07;705;700,43;7297;;6314;983;78;86,53;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
71;Águas da Prata;2005;10282;;0,000025;;;;;;;,,,;30;38036,79;5189,19;142,59;1;51,41;36238,5;5027,37;10498;;;;0,01400448;1072766;8450472;2485;2,95;738;774,98;7330;;6387;943;81,6;87,14;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
72;Águas da Prata;2006;;;;1;;;;;;,,,;43;45101,45;6119,6;142,59;2;51,69;42761,94;7545,94;10621;17661939;1557729;612821;0,01515648;1181376;9583561;2547;2,89;792;819,44;7370;;6461;909;85,37;87,67;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
73;Águas da Prata;2007;;;;;;;;;;,,,;36;56557,56;7623,34;142,59;8;52,03;53685,21;11128,39;10927;19037838;1484862;588026;0,01423311;1311048;10207686;2639;2,81;802;848,55;7419;;6536;883;89,13;88,1;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
74;Águas da Prata;2008;;;;;;;;;;,,,;58;60167,44;8044,85;142,59;4;52,45;56400,53;7444,41;11453;19875304;1427151;674398;0,01262968;1274820;15358437;2826;2,65;829;944,22;7479;;6612;867;93,41;88,41;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
75;Águas da Prata;2009;;;;;;;;;;,,,;38;80361,97;10666,57;142,59;3;52,84;75309,47;9769,48;12471;22082020;1516597;892922;0,01405137;1461372;20429773;2972;2,53;861;1071,76;7534;;6689;845;97,64;88,78;,,,;;;;;ÁGUAS DA PRATA;;;;1;0
76;Águas da Prata;2010;;;;2;;1;0,781;62;13,14;,,,;34;96964,45;12792,14;142,96;3;53,02;90808,66;16864,25;13347;26468692;1493191;655880;0,01617738;;;3148;2,41;922;1167,33;7580;;6767;813;102,71;89,27;28;;;;;ÁGUAS DA PRATA;;;;1;0
77;Águas da Prata;2011;;;;1;;1;;;;,,,;39;89260,07;11738,57;142,96;2;53,19;84908,52;16159;13706;29084734;1509974;755751;0,02034537;;;3406;2,23;937;1386,91;7604;;6815;789;106,48;89,62;;;;;;ÁGUAS DA PRATA;2011;ÁGUAS DA PRATA;3464887,6;1;0
78;Águas da Prata;2012;;;;1;;5;;;;,,,;60;101169,93;13262,97;142,96;2;53,36;96079,4;16703,59;13801;;;;0,02397579;;;3661;2,08;948;1499,38;7628;;6861;767;110,73;89,94;;;;;;ÁGUAS DA PRATA;;;;1;0
79;Águas da Prata;2013;;;;;;1;;;;,,,;32;111412,62;14559,93;142,96;1;53,53;105998,06;17658,91;14130;;;;0,01974044;;;3863;1,98;956;1674,54;7652;;6907;745;114,88;90,26;;;;;;ÁGUAS DA PRATA;;;;1;0
80;Águas da Prata;2014;;;;1;;5;;;;,,,;45;121399,24;15815,43;142,96;4;53,69;115272,61;17651,22;14642;;;;0,01374951;;;4053;1,89;959;1822,68;7676;;6952;724;119,29;90,57;;;;;;ÁGUAS DA PRATA;;;;1;0
81;Águas da Prata;2015;;72446;;1;;3;;;;,,,;69;;;142,57;2;54,01;;;;;;;0,01329488;;;4212;1,83;995;1812,71;7700;;6996;704;123,67;90,86;;;;;;ÁGUAS DA PRATA;;;;1;0
82;Águas da Prata;2016;;;;;;;;;;,,,;;;;142,57;;54,15;;;;;;;;;;4359;1,77;;;7720;;7036;684;127,99;91,14;;;;;;ÁGUAS DA PRATA;;;;1;0
83;Águas da Prata;2017;;;;;;;;;;,,,;;;;142,57;;54,28;;;;;;;;;;;;;;7739;0,3;7075;664;132,51;91,42;;;;;;ÁGUAS DA PRATA;;;;1;0
84;Águas da Prata;2018;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DA PRATA;;;;1;0
85;Águas da Prata;2019;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DA PRATA;;;;1;0
86;Águas da Prata;2020;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DA PRATA;;;;1;0
87;Águas da Prata;2021;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DA PRATA;;;;1;0
88;Águas de Lindóia;2000;;;;;;;0,695;93;6,45;,,,;;;;60;;269,08;;;;37129137;9772171;3082554;0,01883361;2395180;4634237;;;3077;488;16145;;15420;725;48,09;95,51;328;;;;;ÁGUAS DE LINDÓIA;;;;1;0
89;Águas de Lindóia;2001;;;;2;;4;;;;,,,;309;;;60;35;271,07;;;31508;37105546;9422677;3456256;0,01921384;2933114;5617046;;;3364;527,98;16264;;15580;684;50,46;95,79;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
90;Águas de Lindóia;2002;;;;1;;1;;;;,,,;247;114494,08;6995;60;25;272,8;106491,5;9945,34;31450;47015016;9484571;3495849;0,02091903;2973182;4934525;5314;3,08;3575;578,87;16368;;15742;626;52,74;96,18;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
91;Águas de Lindóia;2003;1701;;0,000006;3;;1;;;;,,,;289;122119,87;7418,74;60;22;274,35;113157,59;10787,27;33494;42708261;8618853;3168047;0,02179199;2606087;3994779;5573;2,95;3367;641,31;16461;;15906;555;55,17;96,63;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
92;Águas de Lindóia;2004;;337831;;;;;;;;,,,;230;123993,84;7488;60;21;275,98;114818,12;10778,99;34727;;;;0,0222901;2660426;4189309;5841;2,83;3657;649,75;16559;;16072;487;57,77;97,06;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
93;Águas de Lindóia;2005;;237726;;1;;2;;;;,,,;222;138695,53;8306,12;60;35;278,3;128162,07;12132,99;35671;;;;0,02105731;2748907;4157131;6049;2,76;3501;724,45;16698;;16239;459;60,44;97,25;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
94;Águas de Lindóia;2006;21032;471812;0,000042;1;;;;;;,,,;314;160073,5;9494,84;60;39;280,98;148227,75;13296,15;36559;;;;0,01954316;3134132;4318517;6432;2,62;3758;778,52;16859;;16408;451;63,36;97,32;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
95;Águas de Lindóia;2007;36770;585111;0,000065;1;;;;;;,,,;261;165260,5;9733,23;60;30;282,98;153426,97;10904,48;37299;50196145;10778466;3295926;0,01989282;3484708;3910945;6881;2,47;3671;889,62;16979;;16579;400;66,45;97,64;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
96;Águas de Lindóia;2008;47854;778058;0,000074;1;1;1;;;;,,,;200;176753,92;10341,93;60;46;284,85;164746,41;13147,05;38707;54847184;10324010;2626833;0,01916518;3478635;2758913;7359;2,32;4226;913,48;17091;;16752;339;69,62;98,02;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
97;Águas de Lindóia;2009;46605;901639;0,0001;;;2;;;;,,,;213;198978,4;11578,61;60;48;286,42;185406,28;11597,17;41046;53642047;10438720;3171155;0,01862358;3913222;2816624;7989;2,15;4497;1054,16;17185;;16926;259;72,98;98,49;,,,;;;;;ÁGUAS DE LINDÓIA;;;;1;0
98;Águas de Lindóia;2010;71103;971277;0,000125;;;4;0,745;265;10,74;,,,;209;233684,08;13541,41;60,13;41;286,99;218343,06;13473,98;43806;55462637;11268541;4465238;0,01857324;;;8612;2;4536;1074,23;17257;;17102;155;76,67;99,1;7;;;;;ÁGUAS DE LINDÓIA;;;;1;0
99;Águas de Lindóia;2011;199315;1402495;0,000306;3;;1;;;;,,,;228;267588,6;15401,67;60,13;50;288,94;249497,94;21355,49;45225;61644292;11303547;4306434;0,01878889;;;9292;1,87;4688;1212,4;17374;;17218;156;78,61;99,1;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
100;Águas de Lindóia;2012;462665;1392473;0,00071;3;;8;;;;,,,;285;279456,21;15975,32;60,13;33;290,92;259761,42;22206,21;46082;;;;0,01918352;;;9971;1,75;4718;1305,76;17493;;17336;157;80,54;99,1;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
101;Águas de Lindóia;2013;178037;1966779;0,000283;;1;8;;;;,,,;211;351798,92;19977,22;60,13;37;292,87;329839,01;25620,14;47799;;;;0,01961272;;;10579;1,66;4663;1468,63;17610;;17452;158;82,49;99,1;;;;;;ÁGUAS DE LINDÓIA;2013;ÁGUAS DE LINDÓIA;619445;1;0
102;Águas de Lindóia;2014;205826;1631404;0,000356;2;;7;;;;,,,;225;365468,8;20611,85;60,13;34;294,88;342407,37;30375,04;49331;;;;0,01970604;;;11204;1,58;4802;1604,19;17731;;17572;159;84,17;99,1;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
103;Águas de Lindóia;2015;152256;1685520;0,000295;1;;1;;;;,,,;131;;;60,13;28;296,87;;;;;;;0,02020368;;;11794;1,51;5019;1732,78;17851;;17691;160;85,99;99,1;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
104;Águas de Lindóia;2016;;;;;;;;;;,,,;;;;60,13;;298,59;;;;;;;;;;12244;1,47;;;17954;;17793;161;87,51;99,1;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
105;Águas de Lindóia;2017;;;;;;;;;;,,,;;;;60,13;;300,32;;;;;;;;;;;;;;18058;0,65;17896;162;89,09;99,1;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
106;Águas de Lindóia;2018;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
107;Águas de Lindóia;2019;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
108;Águas de Lindóia;2020;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
109;Águas de Lindóia;2021;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ÁGUAS DE LINDÓIA;;;;1;0
110;Águas de Santa Bárbara;2000;;;;;;;0,668;189;8,43;,,,;;;;408,47;;12,75;;;;22977261;5894886;240938;0,01878836;575918;1676259;;;875;503,25;5210;;3868;1342;41,84;74,24;98;;;;;ÁGUAS DE SANTA BÁRBARA;;;;0;0
